field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking
"link4_3a","billing","","checkbox","3. [billing_procedure4_3] ([billing_modifier4_3a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_3] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_4a","billing","","checkbox","4. [billing_procedure4_4] ([billing_modifier4_4a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_4] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_5a","billing","","checkbox","5. [billing_procedure4_5] ([billing_modifier4_5a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_5] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_6a","billing","","checkbox","6. [billing_procedure4_6] ([billing_modifier4_6a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_6] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_7a","billing","","checkbox","7. [billing_procedure4_7] ([billing_modifier4_7a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_7] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_8a","billing","","checkbox","8. [billing_procedure4_8] ([billing_modifier4_8a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_8] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_9a","billing","","checkbox","9. [billing_procedure4_9] ([billing_modifier4_9a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_9] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_10a","billing","","checkbox","10. [billing_procedure4_10] ([billing_modifier4_10a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_10] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_11a","billing","","checkbox","11. [billing_procedure4_11] ([billing_modifier4_11a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_11] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_12a","billing","","checkbox","12. [billing_procedure4_12] ([billing_modifier4_12a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_12] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_13a","billing","","checkbox","13. [billing_procedure4_13] ([billing_modifier4_13a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_13] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_14a","billing","","checkbox","14. [billing_procedure4_14] ([billing_modifier4_14a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_14] <> """" and [assistant4] <> """"","","","","matrix4a",""
"link4_15a","billing","","checkbox","15. [billing_procedure4_15] ([billing_modifier4_15a])","1, [billing_diagnosis4] | 2, [billing_diagnosis4_2] | 3, [billing_diagnosis4_3] | 4, [billing_diagnosis4_4] | 5, [billing_diagnosis4_5] | 6, [billing_diagnosis4_6] | 7, [billing_diagnosis4_7] | 8, [billing_diagnosis4_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant4] <> '8' and [assistant4] <> '9' and [billing_procedure4_15] <> """" and [assistant4] <> """"","","","","matrix4a",""
"invoice4","billing","","text","Invoice Number","","","","","","","[billing_date4] <> """"","","","","",""
"routing4","billing","","dropdown","<font size=""4"">ROUTE BILL 4 TO:","1, Data Entry (Letha - Lena) | 2, Becky | 4, Gloria | 5, Patti | 6, Susan | 7, Stephanie - Kara | 9, Kelly Ryan | 11, Letha | 12, Lena | 10, BILL COMPLETE","","","","","","[billing_date4] <> """"","Y","","","",""
"break14","billing","","descriptive","<span style=color:#DF013A> ======================================================================================== </span>","","","","","","","[billing_procedure4] <> """"","","","","",""
"demographics_billing5","billing"," ","descriptive","<span style=color:#339933>
BILLING DATE:. . . . . . . . . . . [billing_date5]
Site: . . . . . . . . . . . . . . . . . . . .[site5]
Name: . . . . . . . . . . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
MRN:. . . . . . . . . . . . . . . . . . . [registry_id]-[billing_fin5]
IDX / Allscripts ID:. . . . . . . . . [billing_idx_mrn]
Gender: . . . . . . . . . . . . . . . . . [consultation_arm_1][gender]
Date of Birth: . . . . . . . . . . . . . [consultation_arm_1][dob]
Age:. . . . . . . . . . . . . . . . . . . . [consultation_arm_1][age]
Admission Date: . . . . . . . . . . [billing_admit5] . . . . . . . . ([billing_consult5])
Insurance: . . . . . . . . . . . . . . . [billing_ins]
Surgeon (IDX ID - UPIN): . . . . [billing_surgeon5]
Assistant:. . . . . . . . . . . . . . . . [assistant5]
Referring Physician:. . . . . . . . [billing_refer5]

Comments:
[billing_notes5] </span>
---------------------------------------------------------------------------","","","","","","","[billing_date_end5] <> """"","","","","",""
"demographics_billing5_end","billing","","descriptive","<span style=color:#CC0000>
BILLING DATE:. . . . . . . . . . . [billing_date5]
Site: . . . . . . . . . . . . . . . . . . . .[site5]
Name: . . . . . . . . . . . . . . . . . . [patient_last], [patient_first]
MRN:. . . . . . . . . . . . . . . . . . . [registry_id]-[billing_fin5]
IDX / Allscripts ID:. . . . . . . . . [billing_idx_mrn]
Gender: . . . . . . . . . . . . . . . . . [gender]
Date of Birth: . . . . . . . . . . . . . [dob]
Age:. . . . . . . . . . . . . . . . . . . . [age]
Admission Date: . . . . . . . . . . [billing_admit5] . . . . . . . . ([billing_consult5])
Insurance: . . . . . . . . . . . . . . . [billing_ins]
Surgeon (IDX ID - UPIN): . . . . [billing_surgeon5]
Assistant:. . . . . . . . . . . . . . . . [assistant5]
Referring Physician:. . . . . . . . [billing_refer5]

Comments:
[billing_notes5] </span>
---------------------------------------------------------------------------","","","","","","","[billing_date_end5] = """" and [billing_date5] <> """"","","","","",""
"link5_1","billing","","checkbox","1. [billing_procedure5] ([billing_modifier5])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5] <> """"","","","","matrix5",""
"link5_2","billing","","checkbox","2. [billing_procedure5_2] ([billing_modifier5_2])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_2] <> """"","","","","matrix5",""
"link5_3","billing","","checkbox","3. [billing_procedure5_3] ([billing_modifier5_3])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_3] <> """"","","","","matrix5",""
"link5_4","billing","","checkbox","4. [billing_procedure5_4] ([billing_modifier5_4])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_4] <> """"","","","","matrix5",""
"link5_5","billing","","checkbox","5. [billing_procedure5_5] ([billing_modifier5_5])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_5] <> """"","","","","matrix5",""
"link5_6","billing","","checkbox","6. [billing_procedure5_6] ([billing_modifier5_6])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_6] <> """"","","","","matrix5",""
"link5_7","billing","","checkbox","7. [billing_procedure5_7] ([billing_modifier5_7])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_7] <> """"","","","","matrix5",""
"link5_8","billing","","checkbox","8. [billing_procedure5_8] ([billing_modifier5_8])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_8] <> """"","","","","matrix5",""
"link5_9","billing","","checkbox","9. [billing_procedure5_9] ([billing_modifier5_9])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_9] <> """"","","","","matrix5",""
"link5_10","billing","","checkbox","10. [billing_procedure5_10] ([billing_modifier5_10])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_10] <> """"","","","","matrix5",""
"link5_11","billing","","checkbox","11. [billing_procedure5_11] ([billing_modifier5_11])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_11] <> """"","","","","matrix5",""
"link5_12","billing","","checkbox","12. [billing_procedure5_12] ([billing_modifier5_12])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_12] <> """"","","","","matrix5",""
"link5_13","billing","","checkbox","13. [billing_procedure5_13] ([billing_modifier5_13])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_13] <> """"","","","","matrix5",""
"link5_14","billing","","checkbox","14. [billing_procedure5_14] ([billing_modifier5_14])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_14] <> """"","","","","matrix5",""
"link5_15","billing","","checkbox","15. [billing_procedure5_15] ([billing_modifier5_15])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure5_15] <> """"","","","","matrix5",""
"multipliers5","billing","","descriptive","Multiplier(s)
11045 x [billing_id_quant5_3]
11046 x [billing_id_quant5]
11047 x [billing_id_quant5_2]","","","","","","","[billing_id_quant5_3] <> """" or [billing_id_quant5] <> """" or [billing_id_quant5_2] <> """"","","","","",""
"link5a","billing","***ASSISTANT BILL*** - [assistant5]
","checkbox","1. [billing_procedure5] ([billing_modifier5a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_2a","billing","","checkbox","2. [billing_procedure5_2] ([billing_modifier5_2a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_2] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_3a","billing","","checkbox","3. [billing_procedure5_3] ([billing_modifier5_3a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_3] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_4a","billing","","checkbox","4. [billing_procedure5_4] ([billing_modifier5_4a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_4] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_5a","billing","","checkbox","5. [billing_procedure5_5] ([billing_modifier5_5a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_5] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_6a","billing","","checkbox","6. [billing_procedure5_6] ([billing_modifier5_6a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_6] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_7a","billing","","checkbox","7. [billing_procedure5_7] ([billing_modifier5_7a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_7] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_8a","billing","","checkbox","8. [billing_procedure5_8] ([billing_modifier5_8a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_8] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_9a","billing","","checkbox","9. [billing_procedure5_9] ([billing_modifier5_9a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_9] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_10a","billing","","checkbox","10. [billing_procedure5_10] ([billing_modifier5_10a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_9] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_11a","billing","","checkbox","11. [billing_procedure5_11] ([billing_modifier5_11a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_11] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_12a","billing","","checkbox","12. [billing_procedure5_12] ([billing_modifier5_12a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_12] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_13a","billing","","checkbox","13. [billing_procedure5_13] ([billing_modifier5_13a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_13] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_14a","billing","","checkbox","14. [billing_procedure5_14] ([billing_modifier5_14a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_14] <> """" and [assistant5] <> """"","","","","matrix5a",""
"link5_15a","billing","","checkbox","15. [billing_procedure5_15] ([billing_modifier5_15a])","1, [billing_diagnosis5] | 2, [billing_diagnosis5_2] | 3, [billing_diagnosis5_3] | 4, [billing_diagnosis5_4] | 5, [billing_diagnosis5_5] | 6, [billing_diagnosis5_6] | 7, [billing_diagnosis5_7] | 8, [billing_diagnosis5_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant5] <> '8' and [assistant5] <> '9' and [billing_procedure5_15] <> """" and [assistant5] <> """"","","","","matrix5a",""
"invoice5","billing","","text","Invoice Number","","","","","","","[billing_date5] <> """"","","","","",""
"routing5","billing","","dropdown","<font size=""4"">ROUTE BILL 5 TO:","1, Data Entry (Letha - Lena) | 2, Becky | 4, Gloria | 5, Patti | 6, Susan | 7, Stephanie - Kara | 9, Kelly Ryan | 11, Letha | 12, Lena | 10, BILL COMPLETE","","","","","","[billing_date5] <> """"","Y","","","",""
"break15","billing","","descriptive","<span style=color:#DF013A> ======================================================================================== </span>","","","","","","","[billing_procedure5] <> """"","","","","",""
"demographics_billing6","billing"," ","descriptive","<span style=color:#339933>
BILLING DATE:. . . . . . . . . . . [billing_date6]
Site: . . . . . . . . . . . . . . . . . . . .[site6]
Name: . . . . . . . . . . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
MRN:. . . . . . . . . . . . . . . . . . . [registry_id]-[billing_fin6]
IDX / Allscripts ID:. . . . . . . . . [billing_idx_mrn]
Gender: . . . . . . . . . . . . . . . . . [consultation_arm_1][gender]
Date of Birth: . . . . . . . . . . . . . [consultation_arm_1][dob]
Age:. . . . . . . . . . . . . . . . . . . . [consultation_arm_1][age]
Admission Date: . . . . . . . . . . [billing_admit6] . . . . . . . . ([billing_consult6])
Insurance: . . . . . . . . . . . . . . . [billing_ins]
Surgeon (IDX ID - UPIN): . . . . [billing_surgeon6]
Assistant:. . . . . . . . . . . . . . . . [assistant6]
Referring Physician:. . . . . . . . [billing_refer6]

Comments:
[billing_notes6] </span>
---------------------------------------------------------------------------","","","","","","","[billing_date_end6] <> """"","","","","",""
"demographics_billing6_end","billing","","descriptive","<span style=color:#CC0000>
BILLING DATE:. . . . . . . . . . . [billing_date6]
Site: . . . . . . . . . . . . . . . . . . . .[site6]
Name: . . . . . . . . . . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
MRN:. . . . . . . . . . . . . . . . . . . [registry_id]-[billing_fin6]
IDX / Allscripts ID:. . . . . . . . . [billing_idx_mrn]
Gender: . . . . . . . . . . . . . . . . . [consultation_arm_1][gender]
Date of Birth: . . . . . . . . . . . . . [consultation_arm_1][dob]
Age:. . . . . . . . . . . . . . . . . . . . [consultation_arm_1][age]
Admission Date: . . . . . . . . . . [billing_admit6] . . . . . . . . ([billing_consult6])
Insurance: . . . . . . . . . . . . . . . [billing_ins]
Surgeon (IDX ID - UPIN): . . . . [billing_surgeon6]
Assistant:. . . . . . . . . . . . . . . . [assistant6]
Referring Physician:. . . . . . . . [billing_refer6]

Comments:
[billing_notes6] </span>
---------------------------------------------------------------------------","","","","","","","[billing_date_end6] = """" and [billing_date6] <> """"","","","","",""
"link6_1","billing","","checkbox","1. [billing_procedure6] ([billing_modifier6])","1, [billing_diagnosis6] | 2, [billing_diagnosis6_2] | 3, [billing_diagnosis6_3] | 4, [billing_diagnosis6_4] | 5, [billing_diagnosis6_5] | 6, [billing_diagnosis6_6] | 7, [billing_diagnosis6_7] | 8, [billing_diagnosis6_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure6] <> """"","","","","matrix6",""
